Feature Set,Model,Seed,F1-Score (Dev),Precision (Dev),Recall (Dev),Accuracy (Dev),F1-Score (Test),Precision (Test),Recall (Test),Accuracy (Test),class_numeric_F1-Score,class_numeric_Precision,class_numeric_Recall,class_numeric_Accuracy,class_categorical_F1-Score,class_categorical_Precision,class_categorical_Recall,class_categorical_Accuracy,class_sentence_F1-Score,class_sentence_Precision,class_sentence_Recall,class_sentence_Accuracy,class_url_F1-Score,class_url_Precision,class_url_Recall,class_url_Accuracy,class_list_F1-Score,class_list_Precision,class_list_Recall,class_list_Accuracy,class_embedded-number_F1-Score,class_embedded-number_Precision,class_embedded-number_Recall,class_embedded-number_Accuracy,class_datetime_F1-Score,class_datetime_Precision,class_datetime_Recall,class_datetime_Accuracy,class_not-generalizable_F1-Score,class_not-generalizable_Precision,class_not-generalizable_Recall,class_not-generalizable_Accuracy,class_context-specific_F1-Score,class_context-specific_Precision,class_context-specific_Recall,class_context-specific_Accuracy
Core Features,"{'Name': 'XGB', 'Parameters': {'n_estimators': 10000, 'learning_rate': 0.1, 'n_jobs': -1, 'proc.max_category_levels': 100, 'objective': 'multi:softprob', 'booster': 'gbtree', 'num_class': 9}}",11205,0.8513810726843501,0.8923690119440776,0.8226313310422954,0.8805970149253731,0.8495460163718195,0.888196554263601,0.8367661785771341,0.8875230485556238,0.9,0.89,0.91,0.93,0.9,0.9,0.9,0.94,0.9,0.9,0.9,0.99,0.94,0.88,1.0,1.0,0.61,1.0,0.44,0.99,0.98,0.96,0.99,1.0,0.97,0.98,0.95,1.0,0.92,0.91,0.93,0.99,0.54,0.57,0.51,0.94
Core Features,"{'Name': 'XGB', 'Parameters': {'n_estimators': 10000, 'learning_rate': 0.1, 'n_jobs': -1, 'proc.max_category_levels': 100, 'objective': 'multi:softprob', 'booster': 'gbtree', 'num_class': 9}}",13569,0.8202108878202188,0.8401697959123586,0.8072358862709739,0.8640406607369758,0.849021073197869,0.874006220857455,0.8300410493717999,0.8975225225225225,0.91,0.91,0.92,0.95,0.9,0.88,0.93,0.94,0.85,0.87,0.83,0.99,1.0,1.0,1.0,1.0,0.62,0.73,0.53,0.99,0.92,0.95,0.89,0.99,0.98,0.98,0.98,1.0,0.94,0.94,0.93,0.99,0.52,0.61,0.46,0.96
Core Features,"{'Name': 'XGB', 'Parameters': {'n_estimators': 10000, 'learning_rate': 0.1, 'n_jobs': -1, 'proc.max_category_levels': 100, 'objective': 'multi:softprob', 'booster': 'gbtree', 'num_class': 9}}",14085,0.8389737363809757,0.8751257332383746,0.818688415053485,0.8915470494417863,0.8393423380731738,0.8515377808396827,0.8331796063127934,0.8926925608953259,0.91,0.88,0.94,0.95,0.92,0.92,0.92,0.94,0.86,0.86,0.86,0.99,0.91,1.0,0.84,1.0,0.62,0.59,0.67,0.99,0.92,0.92,0.92,0.99,0.97,0.97,0.97,0.99,0.94,0.93,0.95,0.99,0.49,0.6,0.42,0.94
Core Features,"{'Name': 'XGB', 'Parameters': {'n_estimators': 10000, 'learning_rate': 0.1, 'n_jobs': -1, 'proc.max_category_levels': 100, 'objective': 'multi:softprob', 'booster': 'gbtree', 'num_class': 9}}",16819,0.7953132173772369,0.8301070537529817,0.772829514138389,0.8344827586206897,0.8262755549815195,0.8190385697085142,0.8352141175955791,0.8748419721871049,0.92,0.93,0.91,0.94,0.88,0.86,0.9,0.94,0.85,0.85,0.85,0.99,0.95,0.95,0.95,1.0,0.57,0.53,0.62,0.99,0.88,0.84,0.91,0.99,0.97,0.98,0.96,0.99,0.89,0.88,0.9,0.98,0.52,0.55,0.5,0.93
Core Features,"{'Name': 'XGB', 'Parameters': {'n_estimators': 10000, 'learning_rate': 0.1, 'n_jobs': -1, 'proc.max_category_levels': 100, 'objective': 'multi:softprob', 'booster': 'gbtree', 'num_class': 9}}",20303,0.8181789799183126,0.8433565299741049,0.7982058648366847,0.8927613941018767,0.8216849583009898,0.8710968880942631,0.7917010144253,0.863406408094435,0.93,0.96,0.91,0.96,0.85,0.76,0.96,0.9,0.86,0.86,0.85,0.99,0.94,1.0,0.89,1.0,0.62,0.8,0.5,0.99,0.94,0.98,0.91,0.99,0.98,0.99,0.96,1.0,0.75,0.95,0.62,0.94,0.52,0.53,0.52,0.96
Core Features,"{'Name': 'XGB', 'Parameters': {'n_estimators': 10000, 'learning_rate': 0.1, 'n_jobs': -1, 'proc.max_category_levels': 100, 'objective': 'multi:softprob', 'booster': 'gbtree', 'num_class': 9}}",20970,0.8376179864125364,0.8713142129778787,0.8138144392087708,0.8891855807743658,0.8244655280866426,0.852845793781163,0.8140460749959283,0.9082855653986452,0.94,0.91,0.98,0.95,0.93,0.91,0.95,0.97,0.9,0.91,0.89,0.99,0.93,1.0,0.88,1.0,0.52,0.48,0.58,0.99,0.97,0.98,0.97,1.0,0.97,0.99,0.95,1.0,0.92,0.94,0.89,0.99,0.34,0.57,0.24,0.94
Core Features,"{'Name': 'XGB', 'Parameters': {'n_estimators': 10000, 'learning_rate': 0.1, 'n_jobs': -1, 'proc.max_category_levels': 100, 'objective': 'multi:softprob', 'booster': 'gbtree', 'num_class': 9}}",21012,0.8363945632959037,0.8585763989960719,0.8298840373946111,0.8621553884711779,0.8369162334319237,0.8409111669889556,0.8337850451369773,0.8824561403508772,0.92,0.93,0.92,0.94,0.87,0.85,0.88,0.93,0.88,0.87,0.89,0.99,1.0,1.0,1.0,1.0,0.56,0.56,0.56,0.99,0.9,0.95,0.85,0.99,0.98,0.99,0.97,1.0,0.93,0.93,0.92,0.99,0.5,0.48,0.51,0.94
Core Features,"{'Name': 'XGB', 'Parameters': {'n_estimators': 10000, 'learning_rate': 0.1, 'n_jobs': -1, 'proc.max_category_levels': 100, 'objective': 'multi:softprob', 'booster': 'gbtree', 'num_class': 9}}",21673,0.8341256884053654,0.8807913256267315,0.8123968428792312,0.8776529338327091,0.8408199767279805,0.8494450232390094,0.8350368105030722,0.916336913510458,0.97,0.95,0.98,0.96,0.82,0.86,0.79,0.95,0.88,0.89,0.88,0.99,0.98,0.96,1.0,1.0,0.6,0.6,0.6,0.99,0.96,0.95,0.96,0.99,0.96,0.97,0.96,0.99,0.88,0.87,0.89,0.98,0.52,0.6,0.45,0.96
Core Features,"{'Name': 'XGB', 'Parameters': {'n_estimators': 10000, 'learning_rate': 0.1, 'n_jobs': -1, 'proc.max_category_levels': 100, 'objective': 'multi:softprob', 'booster': 'gbtree', 'num_class': 9}}",22146,0.8426110492894833,0.8833616930648045,0.821048871671305,0.908935685828116,0.8530542379396677,0.8752021504284639,0.8372334511021607,0.9011124845488258,0.94,0.93,0.96,0.95,0.88,0.87,0.89,0.95,0.88,0.88,0.87,0.99,0.84,0.9,0.79,1.0,0.77,0.83,0.71,0.99,0.95,0.93,0.97,0.99,0.98,0.98,0.97,1.0,0.93,0.93,0.93,0.98,0.51,0.63,0.43,0.94
Core Features,"{'Name': 'XGB', 'Parameters': {'n_estimators': 10000, 'learning_rate': 0.1, 'n_jobs': -1, 'proc.max_category_levels': 100, 'objective': 'multi:softprob', 'booster': 'gbtree', 'num_class': 9}}",22732,0.8188707948635239,0.8297603014534707,0.8120961063390943,0.8935888962326504,0.8595336657709384,0.8962511345614365,0.8369423188589602,0.8813146682897139,0.91,0.87,0.96,0.93,0.88,0.87,0.9,0.95,0.92,0.92,0.93,0.99,0.98,1.0,0.96,1.0,0.73,0.92,0.6,0.99,0.94,0.95,0.93,0.99,0.98,0.98,0.98,1.0,0.92,0.95,0.89,0.98,0.46,0.6,0.38,0.92
