user_prompt_tokens,system_prompt_tokens,total_tokens
150,3575,3725
126,3218,3344
127,3218,3345
127,3291,3418
126,3584,3710
126,3754,3880
128,3284,3412
126,4870,4996
128,3182,3310
128,3191,3319
136,3575,3711
112,3218,3330
113,3218,3331
113,3291,3404
112,3584,3696
112,3754,3866
114,3284,3398
112,4870,4982
114,3182,3296
114,3191,3305
140,3575,3715
116,3218,3334
117,3218,3335
117,3291,3408
116,3584,3700
116,3754,3870
118,3284,3402
116,4870,4986
118,3182,3300
118,3191,3309
141,3575,3716
117,3218,3335
118,3218,3336
118,3291,3409
117,3584,3701
117,3754,3871
119,3284,3403
117,4870,4987
119,3182,3301
119,3191,3310
155,3575,3730
131,3218,3349
132,3218,3350
132,3291,3423
131,3584,3715
131,3754,3885
133,3284,3417
131,4870,5001
133,3182,3315
133,3191,3324
141,3575,3716
117,3218,3335
118,3218,3336
118,3291,3409
117,3584,3701
117,3754,3871
119,3284,3403
117,4870,4987
119,3182,3301
119,3191,3310
139,3575,3714
115,3218,3333
116,3218,3334
116,3291,3407
115,3584,3699
115,3754,3869
117,3284,3401
115,4870,4985
117,3182,3299
117,3191,3308
139,3575,3714
115,3218,3333
116,3218,3334
116,3291,3407
115,3584,3699
115,3754,3869
117,3284,3401
115,4870,4985
117,3182,3299
117,3191,3308
139,3575,3714
115,3218,3333
116,3218,3334
116,3291,3407
115,3584,3699
115,3754,3869
117,3284,3401
115,4870,4985
117,3182,3299
117,3191,3308
139,3575,3714
115,3218,3333
116,3218,3334
116,3291,3407
115,3584,3699
115,3754,3869
117,3284,3401
115,4870,4985
117,3182,3299
117,3191,3308
147,3575,3722
123,3218,3341
124,3218,3342
124,3291,3415
123,3584,3707
123,3754,3877
125,3284,3409
123,4870,4993
125,3182,3307
125,3191,3316
166,3575,3741
142,3218,3360
143,3218,3361
143,3291,3434
142,3584,3726
142,3754,3896
144,3284,3428
142,4870,5012
144,3182,3326
144,3191,3335
142,3575,3717
118,3218,3336
119,3218,3337
119,3291,3410
118,3584,3702
118,3754,3872
120,3284,3404
118,4870,4988
120,3182,3302
120,3191,3311
141,3575,3716
117,3218,3335
118,3218,3336
118,3291,3409
117,3584,3701
117,3754,3871
119,3284,3403
117,4870,4987
119,3182,3301
119,3191,3310
142,3575,3717
118,3218,3336
119,3218,3337
119,3291,3410
118,3584,3702
118,3754,3872
120,3284,3404
118,4870,4988
120,3182,3302
120,3191,3311
161,3575,3736
137,3218,3355
138,3218,3356
138,3291,3429
137,3584,3721
137,3754,3891
139,3284,3423
137,4870,5007
139,3182,3321
139,3191,3330
219,3575,3794
195,3218,3413
196,3218,3414
196,3291,3487
195,3584,3779
195,3754,3949
197,3284,3481
195,4870,5065
197,3182,3379
197,3191,3388
137,3575,3712
113,3218,3331
114,3218,3332
114,3291,3405
113,3584,3697
113,3754,3867
115,3284,3399
113,4870,4983
115,3182,3297
115,3191,3306
218,3575,3793
194,3218,3412
195,3218,3413
195,3291,3486
194,3584,3778
194,3754,3948
196,3284,3480
194,4870,5064
196,3182,3378
196,3191,3387
137,3575,3712
113,3218,3331
114,3218,3332
114,3291,3405
113,3584,3697
113,3754,3867
115,3284,3399
113,4870,4983
115,3182,3297
115,3191,3306
136,3575,3711
112,3218,3330
113,3218,3331
113,3291,3404
112,3584,3696
112,3754,3866
114,3284,3398
112,4870,4982
114,3182,3296
114,3191,3305
136,3575,3711
112,3218,3330
113,3218,3331
113,3291,3404
112,3584,3696
112,3754,3866
114,3284,3398
112,4870,4982
114,3182,3296
114,3191,3305
217,3575,3792
193,3218,3411
194,3218,3412
194,3291,3485
193,3584,3777
193,3754,3947
195,3284,3479
193,4870,5063
195,3182,3377
195,3191,3386
149,3575,3724
125,3218,3343
126,3218,3344
126,3291,3417
125,3584,3709
125,3754,3879
127,3284,3411
125,4870,4995
127,3182,3309
127,3191,3318
141,3575,3716
117,3218,3335
118,3218,3336
118,3291,3409
117,3584,3701
117,3754,3871
119,3284,3403
117,4870,4987
119,3182,3301
119,3191,3310
191,3575,3766
167,3218,3385
168,3218,3386
168,3291,3459
167,3584,3751
167,3754,3921
169,3284,3453
167,4870,5037
169,3182,3351
169,3191,3360
138,3575,3713
114,3218,3332
115,3218,3333
115,3291,3406
114,3584,3698
114,3754,3868
116,3284,3400
114,4870,4984
116,3182,3298
116,3191,3307
148,3575,3723
124,3218,3342
125,3218,3343
125,3291,3416
124,3584,3708
124,3754,3878
126,3284,3410
124,4870,4994
126,3182,3308
126,3191,3317
144,3575,3719
120,3218,3338
121,3218,3339
121,3291,3412
120,3584,3704
120,3754,3874
122,3284,3406
120,4870,4990
122,3182,3304
122,3191,3313
155,3575,3730
131,3218,3349
132,3218,3350
132,3291,3423
131,3584,3715
131,3754,3885
133,3284,3417
131,4870,5001
133,3182,3315
133,3191,3324
173,3575,3748
149,3218,3367
150,3218,3368
150,3291,3441
149,3584,3733
149,3754,3903
151,3284,3435
149,4870,5019
151,3182,3333
151,3191,3342
155,3575,3730
131,3218,3349
132,3218,3350
132,3291,3423
131,3584,3715
131,3754,3885
133,3284,3417
131,4870,5001
133,3182,3315
133,3191,3324
145,3575,3720
121,3218,3339
122,3218,3340
122,3291,3413
121,3584,3705
121,3754,3875
123,3284,3407
121,4870,4991
123,3182,3305
123,3191,3314
148,3575,3723
124,3218,3342
125,3218,3343
125,3291,3416
124,3584,3708
124,3754,3878
126,3284,3410
124,4870,4994
126,3182,3308
126,3191,3317
155,3575,3730
131,3218,3349
132,3218,3350
132,3291,3423
131,3584,3715
131,3754,3885
133,3284,3417
131,4870,5001
133,3182,3315
133,3191,3324
141,3575,3716
117,3218,3335
118,3218,3336
118,3291,3409
117,3584,3701
117,3754,3871
119,3284,3403
117,4870,4987
119,3182,3301
119,3191,3310
148,3575,3723
124,3218,3342
125,3218,3343
125,3291,3416
124,3584,3708
124,3754,3878
126,3284,3410
124,4870,4994
126,3182,3308
126,3191,3317
136,3575,3711
112,3218,3330
113,3218,3331
113,3291,3404
112,3584,3696
112,3754,3866
114,3284,3398
112,4870,4982
114,3182,3296
114,3191,3305
145,3575,3720
121,3218,3339
122,3218,3340
122,3291,3413
121,3584,3705
121,3754,3875
123,3284,3407
121,4870,4991
123,3182,3305
123,3191,3314
140,3575,3715
116,3218,3334
117,3218,3335
117,3291,3408
116,3584,3700
116,3754,3870
118,3284,3402
116,4870,4986
118,3182,3300
118,3191,3309
192,3575,3767
168,3218,3386
169,3218,3387
169,3291,3460
168,3584,3752
168,3754,3922
170,3284,3454
168,4870,5038
170,3182,3352
170,3191,3361
196,3575,3771
172,3218,3390
173,3218,3391
173,3291,3464
172,3584,3756
172,3754,3926
174,3284,3458
172,4870,5042
174,3182,3356
174,3191,3365
156,3575,3731
132,3218,3350
133,3218,3351
133,3291,3424
132,3584,3716
132,3754,3886
134,3284,3418
132,4870,5002
134,3182,3316
134,3191,3325
171,3575,3746
147,3218,3365
148,3218,3366
148,3291,3439
147,3584,3731
147,3754,3901
149,3284,3433
147,4870,5017
149,3182,3331
149,3191,3340
150,3575,3725
126,3218,3344
127,3218,3345
127,3291,3418
126,3584,3710
126,3754,3880
128,3284,3412
126,4870,4996
128,3182,3310
128,3191,3319
191,3575,3766
167,3218,3385
168,3218,3386
168,3291,3459
167,3584,3751
167,3754,3921
169,3284,3453
167,4870,5037
169,3182,3351
169,3191,3360
155,3575,3730
131,3218,3349
132,3218,3350
132,3291,3423
131,3584,3715
131,3754,3885
133,3284,3417
131,4870,5001
133,3182,3315
133,3191,3324
200,3575,3775
176,3218,3394
177,3218,3395
177,3291,3468
176,3584,3760
176,3754,3930
178,3284,3462
176,4870,5046
178,3182,3360
178,3191,3369
158,3575,3733
134,3218,3352
135,3218,3353
135,3291,3426
134,3584,3718
134,3754,3888
136,3284,3420
134,4870,5004
136,3182,3318
136,3191,3327
215,3575,3790
191,3218,3409
192,3218,3410
192,3291,3483
191,3584,3775
191,3754,3945
193,3284,3477
191,4870,5061
193,3182,3375
193,3191,3384
136,3575,3711
112,3218,3330
113,3218,3331
113,3291,3404
112,3584,3696
112,3754,3866
114,3284,3398
112,4870,4982
114,3182,3296
114,3191,3305
160,3575,3735
136,3218,3354
137,3218,3355
137,3291,3428
136,3584,3720
136,3754,3890
138,3284,3422
136,4870,5006
138,3182,3320
138,3191,3329
137,3575,3712
113,3218,3331
114,3218,3332
114,3291,3405
113,3584,3697
113,3754,3867
115,3284,3399
113,4870,4983
115,3182,3297
115,3191,3306
211,3575,3786
187,3218,3405
188,3218,3406
188,3291,3479
187,3584,3771
187,3754,3941
189,3284,3473
187,4870,5057
189,3182,3371
189,3191,3380
163,3575,3738
139,3218,3357
140,3218,3358
140,3291,3431
139,3584,3723
139,3754,3893
141,3284,3425
139,4870,5009
141,3182,3323
141,3191,3332
202,3575,3777
178,3218,3396
179,3218,3397
179,3291,3470
178,3584,3762
178,3754,3932
180,3284,3464
178,4870,5048
180,3182,3362
180,3191,3371
163,3575,3738
139,3218,3357
140,3218,3358
140,3291,3431
139,3584,3723
139,3754,3893
141,3284,3425
139,4870,5009
141,3182,3323
141,3191,3332
215,3575,3790
191,3218,3409
192,3218,3410
