user_prompt_tokens,system_prompt_tokens,total_tokens
150,1749,1899
126,1749,1875
127,1749,1876
127,1749,1876
126,1749,1875
126,1749,1875
128,1749,1877
126,1749,1875
128,1749,1877
128,1749,1877
136,1749,1885
112,1749,1861
113,1749,1862
113,1749,1862
112,1749,1861
112,1749,1861
114,1749,1863
112,1749,1861
114,1749,1863
114,1749,1863
140,1749,1889
116,1749,1865
117,1749,1866
117,1749,1866
116,1749,1865
116,1749,1865
118,1749,1867
116,1749,1865
118,1749,1867
118,1749,1867
141,1749,1890
117,1749,1866
118,1749,1867
118,1749,1867
117,1749,1866
117,1749,1866
119,1749,1868
117,1749,1866
119,1749,1868
119,1749,1868
155,1749,1904
131,1749,1880
132,1749,1881
132,1749,1881
131,1749,1880
131,1749,1880
133,1749,1882
131,1749,1880
133,1749,1882
133,1749,1882
141,1749,1890
117,1749,1866
118,1749,1867
118,1749,1867
117,1749,1866
117,1749,1866
119,1749,1868
117,1749,1866
119,1749,1868
119,1749,1868
139,1749,1888
115,1749,1864
116,1749,1865
116,1749,1865
115,1749,1864
115,1749,1864
117,1749,1866
115,1749,1864
117,1749,1866
117,1749,1866
139,1749,1888
115,1749,1864
116,1749,1865
116,1749,1865
115,1749,1864
115,1749,1864
117,1749,1866
115,1749,1864
117,1749,1866
117,1749,1866
139,1749,1888
115,1749,1864
116,1749,1865
116,1749,1865
115,1749,1864
115,1749,1864
117,1749,1866
115,1749,1864
117,1749,1866
117,1749,1866
139,1749,1888
115,1749,1864
116,1749,1865
116,1749,1865
115,1749,1864
115,1749,1864
117,1749,1866
115,1749,1864
117,1749,1866
117,1749,1866
147,1749,1896
123,1749,1872
124,1749,1873
124,1749,1873
123,1749,1872
123,1749,1872
125,1749,1874
123,1749,1872
125,1749,1874
125,1749,1874
166,1749,1915
142,1749,1891
143,1749,1892
143,1749,1892
142,1749,1891
142,1749,1891
144,1749,1893
142,1749,1891
144,1749,1893
144,1749,1893
142,1749,1891
118,1749,1867
119,1749,1868
119,1749,1868
118,1749,1867
118,1749,1867
120,1749,1869
118,1749,1867
120,1749,1869
120,1749,1869
141,1749,1890
117,1749,1866
118,1749,1867
118,1749,1867
117,1749,1866
117,1749,1866
119,1749,1868
117,1749,1866
119,1749,1868
119,1749,1868
142,1749,1891
118,1749,1867
119,1749,1868
119,1749,1868
118,1749,1867
118,1749,1867
120,1749,1869
118,1749,1867
120,1749,1869
120,1749,1869
161,1749,1910
137,1749,1886
138,1749,1887
138,1749,1887
137,1749,1886
137,1749,1886
139,1749,1888
137,1749,1886
139,1749,1888
139,1749,1888
219,1749,1968
195,1749,1944
196,1749,1945
196,1749,1945
195,1749,1944
195,1749,1944
197,1749,1946
195,1749,1944
197,1749,1946
197,1749,1946
137,1749,1886
113,1749,1862
114,1749,1863
114,1749,1863
113,1749,1862
113,1749,1862
115,1749,1864
113,1749,1862
115,1749,1864
115,1749,1864
218,1749,1967
194,1749,1943
195,1749,1944
195,1749,1944
194,1749,1943
194,1749,1943
196,1749,1945
194,1749,1943
196,1749,1945
196,1749,1945
137,1749,1886
113,1749,1862
114,1749,1863
114,1749,1863
113,1749,1862
113,1749,1862
115,1749,1864
113,1749,1862
115,1749,1864
115,1749,1864
136,1749,1885
112,1749,1861
113,1749,1862
113,1749,1862
112,1749,1861
112,1749,1861
114,1749,1863
112,1749,1861
114,1749,1863
114,1749,1863
136,1749,1885
112,1749,1861
113,1749,1862
113,1749,1862
112,1749,1861
112,1749,1861
114,1749,1863
112,1749,1861
114,1749,1863
114,1749,1863
217,1749,1966
193,1749,1942
194,1749,1943
194,1749,1943
193,1749,1942
193,1749,1942
195,1749,1944
193,1749,1942
195,1749,1944
195,1749,1944
149,1749,1898
125,1749,1874
